Class,Metric,GraphSAGE,GCN,CatBoost,HGT,GAT,HAN
0,precision,0.997,0.989,0.988,0.995,1.0,1.0
0,recall,0.04,0.304,0.216,0.088,0.095,0.013
0,f1-score,0.077,0.465,0.355,0.162,0.174,0.026
1,precision,0.091,0.117,0.106,0.095,0.096,0.089
1,recall,0.999,0.964,0.971,0.996,1.0,1.0
1,f1-score,0.166,0.209,0.191,0.173,0.175,0.163
macro avg,precision,0.544,0.553,0.547,0.545,0.548,0.544
macro avg,recall,0.519,0.634,0.594,0.542,0.548,0.507
macro avg,f1-score,0.122,0.337,0.273,0.167,0.174,0.094
weighted avg,precision,0.917,0.913,0.91,0.917,0.921,0.92
weighted avg,recall,0.124,0.362,0.282,0.167,0.174,0.1
weighted avg,f1-score,0.085,0.443,0.341,0.163,0.174,0.038
