number,value,datetime_start,datetime_complete,duration,user_attrs_acc,user_attrs_aprc,user_attrs_auc,user_attrs_best_epoch,user_attrs_f1,user_attrs_loss,user_attrs_precision,user_attrs_recall,user_attrs_total_epochs,state
26,0.800882875919342,2023-01-13 05:59:01.971965,2023-01-13 06:02:55.110587,0 days 00:03:53.138622,0.9325301051139832,0.800882875919342,0.9628362059593201,430,0.7207334041595459,1.9722723960876465,0.58600914478302,0.9358974099159241,630,COMPLETE
28,0.7715284824371338,2023-01-13 06:06:50.427516,2023-01-13 06:11:02.514807,0 days 00:04:12.087291,0.930522084236145,0.7715284824371338,0.9439888000488281,482,0.6984126567840576,3.008744239807129,0.5603543519973755,0.9267399311065674,682,COMPLETE
2,0.7708148956298828,2023-01-13 04:25:29.070442,2023-01-13 04:30:22.028521,0 days 00:04:52.958079,0.9323962330818176,0.7708148956298828,0.9534974694252014,591,0.6564298868179321,2.3972957134246826,0.5044247508049011,0.9395604133605957,791,COMPLETE
11,0.7384179830551147,2023-01-13 05:05:31.580296,2023-01-13 05:09:21.664661,0 days 00:03:50.084365,0.9314591884613037,0.7384179830551147,0.9459619522094727,422,0.6815114617347717,3.184086799621582,0.5395299196243286,0.9249083995819092,622,COMPLETE
15,0.7243998646736145,2023-01-13 05:20:50.604569,2023-01-13 05:24:11.832558,0 days 00:03:21.227989,0.9311914443969727,0.7243998646736145,0.9418748617172241,345,0.6529563069343567,3.1294593811035156,0.502970278263092,0.930402934551239,545,COMPLETE
25,0.7059735059738159,2023-01-13 05:56:12.148363,2023-01-13 05:59:01.936545,0 days 00:02:49.788182,0.9314591884613037,0.7059735059738159,0.9532530903816223,259,0.6684005260467529,2.1239287853240967,0.5181451439857483,0.9413919448852539,459,COMPLETE
27,0.6844924688339233,2023-01-13 06:02:55.132741,2023-01-13 06:06:50.404748,0 days 00:03:55.272007,0.9315930604934692,0.6844924688339233,0.9242317080497742,437,0.6051417589187622,4.117308139801025,0.4727085530757904,0.8406593203544617,637,COMPLETE
0,0.6188538074493408,2023-01-13 04:15:52.110848,2023-01-13 04:20:45.558482,0 days 00:04:53.447634,0.9274430871009827,0.6188538074493408,0.90788733959198,588,0.6511309146881104,6.198636054992676,0.5202628970146179,0.8699633479118347,788,COMPLETE
6,0.6113343238830566,2023-01-13 04:42:08.636794,2023-01-13 04:46:58.413975,0 days 00:04:49.777181,0.9289156794548035,0.6113343238830566,0.9053653478622437,583,0.6507503390312195,6.018258094787598,0.518478274345398,0.8736263513565063,783,COMPLETE
13,0.5907445549964905,2023-01-13 05:11:39.480169,2023-01-13 05:16:49.172296,0 days 00:05:09.692127,0.9258366823196411,0.5907445549964905,0.903197169303894,639,0.6466984152793884,6.327182769775391,0.5146262049674988,0.8699633479118347,839,COMPLETE
8,0.5876113176345825,2023-01-13 04:50:49.355821,2023-01-13 04:57:00.261676,0 days 00:06:10.905855,0.9258366823196411,0.5876113176345825,0.9099671244621277,803,0.6485013365745544,5.901215076446533,0.5162689685821533,0.8717948794364929,1003,COMPLETE
10,0.585214376449585,2023-01-13 05:00:26.932476,2023-01-13 05:05:31.557017,0 days 00:05:04.624541,0.9266399145126343,0.585214376449585,0.904300332069397,624,0.6414835453033447,6.657886505126953,0.5131868124008179,0.8553113341331482,824,COMPLETE
1,0.5833691358566284,2023-01-13 04:20:45.585903,2023-01-13 04:25:29.047258,0 days 00:04:43.461355,0.9258366823196411,0.5833691358566284,0.9075591564178467,566,0.631438136100769,5.375700950622559,0.49736565351486206,0.8644688725471497,766,COMPLETE
19,0.5809270143508911,2023-01-13 05:34:42.051451,2023-01-13 05:38:50.554126,0 days 00:04:08.502675,0.9262382984161377,0.5809270143508911,0.8946365118026733,471,0.6226041316986084,5.83704137802124,0.4870734214782715,0.8626373410224915,671,COMPLETE
23,0.5758522748947144,2023-01-13 05:47:26.716089,2023-01-13 05:52:36.795270,0 days 00:05:10.079181,0.9270414710044861,0.5758522748947144,0.8971172571182251,639,0.6329113841056824,6.599165916442871,0.49738219380378723,0.8699633479118347,839,COMPLETE
4,0.5723304748535156,2023-01-13 04:34:50.197528,2023-01-13 04:38:42.397039,0 days 00:03:52.199511,0.9267737865447998,0.5723304748535156,0.9060735702514648,427,0.6031745672225952,4.9168901443481445,0.4616132080554962,0.8699633479118347,627,COMPLETE
18,0.5670197010040283,2023-01-13 05:29:36.280294,2023-01-13 05:34:42.027731,0 days 00:05:05.747437,0.9247657060623169,0.5670197010040283,0.9043809771537781,626,0.6389262080192566,7.043432712554932,0.5042372941970825,0.8717948794364929,826,COMPLETE
3,0.5658185482025146,2023-01-13 04:30:22.052508,2023-01-13 04:34:50.173303,0 days 00:04:28.120795,0.9257028102874756,0.5658185482025146,0.903460681438446,525,0.6397849321365356,6.080519676208496,0.5053078532218933,0.8717948794364929,725,COMPLETE
22,0.5641716718673706,2023-01-13 05:43:43.978524,2023-01-13 05:47:26.693648,0 days 00:03:42.715124,0.9265060424804688,0.5641716718673706,0.8948665857315063,402,0.6183952689170837,6.391961097717285,0.48024314641952515,0.8681318759918213,602,COMPLETE
7,0.5551133155822754,2023-01-13 04:46:58.438181,2023-01-13 04:50:49.334118,0 days 00:03:50.895937,0.9246318340301514,0.5551133155822754,0.9030762910842896,424,0.6199740171432495,5.9167070388793945,0.4799196720123291,0.8754578828811646,624,COMPLETE
14,0.5444186329841614,2023-01-13 05:16:49.196200,2023-01-13 05:20:50.581469,0 days 00:04:01.385269,0.9259705543518066,0.5444186329841614,0.9017096757888794,454,0.6127989888191223,6.304198741912842,0.4735264778137207,0.8681318759918213,654,COMPLETE
29,0.5419102311134338,2023-01-13 06:11:02.545667,2023-01-13 06:14:03.374054,0 days 00:03:00.828387,0.9244980216026306,0.5419102311134338,0.902058482170105,289,0.6277372241020203,5.716207027435303,0.49219563603401184,0.8663003444671631,489,COMPLETE
5,0.5359988808631897,2023-01-13 04:38:42.420234,2023-01-13 04:42:08.612942,0 days 00:03:26.192708,0.924096405506134,0.5359988808631897,0.8997212648391724,357,0.6304493546485901,5.759777545928955,0.49735450744628906,0.860805869102478,557,COMPLETE
9,0.5307638645172119,2023-01-13 04:57:00.283869,2023-01-13 05:00:26.909225,0 days 00:03:26.625356,0.9230254292488098,0.5307638645172119,0.9054285883903503,358,0.635680079460144,5.2232232093811035,0.507088303565979,0.8516483306884766,558,COMPLETE
24,0.5103761553764343,2023-01-13 05:52:36.819079,2023-01-13 05:56:12.126221,0 days 00:03:35.307142,0.9254350662231445,0.5103761553764343,0.8946998715400696,382,0.6045016050338745,5.643924236297607,0.4658077359199524,0.860805869102478,582,COMPLETE
16,0.3743651807308197,2023-01-13 05:24:11.856913,2023-01-13 05:27:28.724522,0 days 00:03:16.867609,0.9283801913261414,0.3743651807308197,0.7800619602203369,331,0.4596182107925415,11.805876731872559,0.38357841968536377,0.5732600688934326,531,COMPLETE
21,0.3397568166255951,2023-01-13 05:41:02.070996,2023-01-13 05:43:43.954691,0 days 00:02:41.883695,0.9275769591331482,0.3397568166255951,0.7747297286987305,237,0.30970337986946106,5.1012492179870605,0.21344421803951263,0.5641025900840759,437,COMPLETE
20,0.3244507908821106,2023-01-13 05:38:50.579039,2023-01-13 05:41:02.035412,0 days 00:02:11.456373,0.9274430871009827,0.3244507908821106,0.776186466217041,155,0.3176645338535309,6.53311014175415,0.2176271229982376,0.5879120826721191,355,COMPLETE
17,0.31533658504486084,2023-01-13 05:27:28.750531,2023-01-13 05:29:36.256678,0 days 00:02:07.506147,0.9270414710044861,0.31533658504486084,0.7834382653236389,144,0.3081105649471283,5.776358127593994,0.20469596982002258,0.622710645198822,344,COMPLETE
12,0.30582723021507263,2023-01-13 05:09:21.687477,2023-01-13 05:11:39.457579,0 days 00:02:17.770102,0.9267737865447998,0.30582723021507263,0.7859984636306763,173,0.29581472277641296,4.897964000701904,0.19007833302021027,0.6666666865348816,373,COMPLETE
