number,value,datetime_start,datetime_complete,duration,user_attrs_acc,user_attrs_aprc,user_attrs_auc,user_attrs_best_epoch,user_attrs_f1,user_attrs_loss,user_attrs_precision,user_attrs_recall,user_attrs_total_epochs,state
19,0.9604744911193848,2023-01-13 03:52:11.280032,2023-01-13 03:55:49.797106,0 days 00:03:38.517074,0.9348058700561523,0.9604744911193848,0.9949916005134583,808,0.7727272510528564,0.2434409111738205,0.6310904622077942,0.9963369965553284,1008,COMPLETE
23,0.9502645134925842,2023-01-13 04:01:58.268695,2023-01-13 04:04:36.270069,0 days 00:02:38.001374,0.9325301051139832,0.9502645134925842,0.9954060316085815,529,0.7629157900810242,0.1544601172208786,0.6216839551925659,0.9871794581413269,729,COMPLETE
27,0.9411181211471558,2023-01-13 04:10:29.490371,2023-01-13 04:12:32.648373,0 days 00:02:03.158002,0.9331994652748108,0.9411181211471558,0.9940375089645386,367,0.7610993385314941,0.2046123445034027,0.6185566782951355,0.9890109896659851,567,COMPLETE
21,0.9316942691802979,2023-01-13 03:57:50.107692,2023-01-13 04:00:36.227557,0 days 00:02:46.119865,0.9360107183456421,0.9316942691802979,0.9940313696861267,567,0.7390109896659851,0.18132953345775604,0.591208815574646,0.9853479862213135,767,COMPLETE
9,0.9222620725631714,2023-01-13 03:26:03.886558,2023-01-13 03:29:47.166835,0 days 00:03:43.280277,0.9394912719726562,0.9222620725631714,0.9909714460372925,831,0.7782608866691589,0.4824460446834564,0.6438848972320557,0.9835164546966553,1031,COMPLETE
15,0.9015728831291199,2023-01-13 03:41:41.402654,2023-01-13 03:44:33.745799,0 days 00:02:52.343145,0.9318608045578003,0.9015728831291199,0.9897871017456055,595,0.7470216751098633,0.390827476978302,0.6049942970275879,0.976190447807312,795,COMPLETE
7,0.8972226977348328,2023-01-13 03:21:57.716793,2023-01-13 03:24:30.182748,0 days 00:02:32.465955,0.930522084236145,0.8972226977348328,0.9881703853607178,502,0.6863753199577332,0.27235937118530273,0.5287128686904907,0.9780219793319702,702,COMPLETE
10,0.8963105082511902,2023-01-13 03:29:47.190536,2023-01-13 03:32:29.153179,0 days 00:02:41.962643,0.9364123344421387,0.8963105082511902,0.9880322813987732,547,0.6950355172157288,0.3674231171607971,0.5363184213638306,0.9871794581413269,747,COMPLETE
18,0.8810103535652161,2023-01-13 03:49:05.272122,2023-01-13 03:52:11.256490,0 days 00:03:05.984368,0.9341365694999695,0.8810103535652161,0.9800739288330078,659,0.6721833348274231,0.6740674376487732,0.5151219367980957,0.9670329689979553,859,COMPLETE
20,0.8762179613113403,2023-01-13 03:55:49.819987,2023-01-13 03:57:50.085154,0 days 00:02:00.265167,0.9297188520431519,0.8762179613113403,0.9860190749168396,355,0.6466706395149231,0.4007231295108795,0.4808206856250763,0.9871794581413269,555,COMPLETE
14,0.8402413129806519,2023-01-13 03:38:52.122519,2023-01-13 03:41:41.380050,0 days 00:02:49.257531,0.9298527240753174,0.8402413129806519,0.9777429699897766,581,0.7092198729515076,0.5524094700813293,0.5787037014961243,0.9157509207725525,781,COMPLETE
11,0.8186076879501343,2023-01-13 03:32:29.178066,2023-01-13 03:33:57.985320,0 days 00:01:28.807254,0.9298527240753174,0.8186076879501343,0.9776108264923096,209,0.6342072486877441,0.35802537202835083,0.48106059432029724,0.930402934551239,409,COMPLETE
17,0.8138167858123779,2023-01-13 03:47:04.217139,2023-01-13 03:49:05.248798,0 days 00:02:01.031659,0.9314591884613037,0.8138167858123779,0.9600298404693604,358,0.6769880056381226,1.2635104656219482,0.5497142672538757,0.8809523582458496,558,COMPLETE
25,0.7823562026023865,2023-01-13 04:06:23.445925,2023-01-13 04:07:40.320661,0 days 00:01:16.874736,0.9287818074226379,0.7823562026023865,0.9727908372879028,154,0.5611745119094849,0.3813340365886688,0.39907193183898926,0.9450549483299255,354,COMPLETE
13,0.7730679512023926,2023-01-13 03:35:46.404436,2023-01-13 03:38:52.100002,0 days 00:03:05.695566,0.9318608045578003,0.7730679512023926,0.956288754940033,657,0.6778181791305542,1.755797028541565,0.5621230602264404,0.8534798622131348,857,COMPLETE
12,0.7559359669685364,2023-01-13 03:33:58.009558,2023-01-13 03:35:46.380859,0 days 00:01:48.371301,0.9306559562683105,0.7559359669685364,0.9467610120773315,300,0.677370011806488,1.0787758827209473,0.5813648104667664,0.8113552927970886,500,COMPLETE
16,0.7335066795349121,2023-01-13 03:44:33.768508,2023-01-13 03:47:04.191788,0 days 00:02:30.423280,0.9330655932426453,0.7335066795349121,0.9396219253540039,493,0.6494773030281067,1.9732065200805664,0.5241844654083252,0.8534798622131348,693,COMPLETE
4,0.7326806783676147,2023-01-13 03:15:24.880979,2023-01-13 03:17:10.303053,0 days 00:01:45.422074,0.9282463192939758,0.7326806783676147,0.9551732540130615,284,0.6527513861656189,1.650654673576355,0.4985507130622864,0.9450549483299255,484,COMPLETE
24,0.7007608413696289,2023-01-13 04:04:36.292599,2023-01-13 04:06:23.423040,0 days 00:01:47.130441,0.9313253164291382,0.7007608413696289,0.9266401529312134,294,0.6140844821929932,1.894276738166809,0.4988558292388916,0.7985348105430603,494,COMPLETE
29,0.6618579030036926,2023-01-13 04:14:14.114816,2023-01-13 04:15:43.434340,0 days 00:01:29.319524,0.9298527240753174,0.6618579030036926,0.9109371304512024,212,0.6110325455665588,2.204500675201416,0.4976958632469177,0.791208803653717,412,COMPLETE
5,0.6020627021789551,2023-01-13 03:17:10.325624,2023-01-13 03:19:36.231371,0 days 00:02:25.905747,0.9299865961074829,0.6020627021789551,0.9081096053123474,473,0.5405777096748352,2.4751875400543213,0.4328193962574005,0.7197802066802979,673,COMPLETE
26,0.5441920757293701,2023-01-13 04:07:40.345352,2023-01-13 04:10:29.467420,0 days 00:02:49.122068,0.9291834235191345,0.5441920757293701,0.9112591743469238,581,0.4809384346008301,1.5758846998214722,0.3537532389163971,0.7509157657623291,781,COMPLETE
28,0.471517413854599,2023-01-13 04:12:32.671581,2023-01-13 04:14:14.091296,0 days 00:01:41.419715,0.929049551486969,0.471517413854599,0.8167694807052612,267,0.4515215754508972,6.4214067459106445,0.3679354190826416,0.5842490792274475,467,COMPLETE
22,0.4416421055793762,2023-01-13 04:00:36.250247,2023-01-13 04:01:58.241128,0 days 00:01:21.990881,0.9278447031974792,0.4416421055793762,0.8062337636947632,178,0.4477390646934509,4.668127059936523,0.3760896623134613,0.553113579750061,378,COMPLETE
0,0.4047950208187103,2023-01-13 03:08:29.235062,2023-01-13 03:10:19.067296,0 days 00:01:49.832234,0.9293172955513,0.4047950208187103,0.8029211163520813,298,0.40025413036346436,5.669989109039307,0.306420236825943,0.5769230723381042,498,COMPLETE
3,0.3943718373775482,2023-01-13 03:13:48.409026,2023-01-13 03:15:24.858233,0 days 00:01:36.449207,0.9278447031974792,0.3943718373775482,0.7921772003173828,244,0.3837733566761017,5.51040506362915,0.2959285080432892,0.5457875728607178,444,COMPLETE
6,0.3592208921909332,2023-01-13 03:19:36.253559,2023-01-13 03:21:57.694573,0 days 00:02:21.441014,0.9282463192939758,0.3592208921909332,0.7780802249908447,453,0.4166666567325592,9.645272254943848,0.3650137782096863,0.4853479862213135,653,COMPLETE
2,0.35863858461380005,2023-01-13 03:11:56.830339,2023-01-13 03:13:48.385824,0 days 00:01:51.555485,0.9287818074226379,0.35863858461380005,0.7767326831817627,314,0.39546188712120056,5.915186405181885,0.35465115308761597,0.44688645005226135,514,COMPLETE
8,0.3243023157119751,2023-01-13 03:24:30.205924,2023-01-13 03:26:03.862754,0 days 00:01:33.656830,0.9275769591331482,0.3243023157119751,0.763786256313324,232,0.36717063188552856,6.8958420753479,0.30249109864234924,0.4670329689979553,432,COMPLETE
1,0.16963545978069305,2023-01-13 03:10:19.094477,2023-01-13 03:11:56.807586,0 days 00:01:37.713109,0.9273092150688171,0.16963545978069305,0.6672230958938599,250,0.21407625079154968,7.7147440910339355,0.17848411202430725,0.26739928126335144,450,COMPLETE
