Class,Metric,GraphSAGE,GCN,CatBoost,HGT,GAT,HAN
0,precision,0.991,0.984,0.94,0.995,1.0,1.0
0,recall,0.079,0.358,0.581,0.113,0.15,0.026
0,f1-score,0.147,0.525,0.718,0.203,0.261,0.051
1,precision,0.094,0.123,0.123,0.097,0.101,0.09
1,recall,0.993,0.939,0.613,0.994,1.0,1.0
1,f1-score,0.171,0.217,0.205,0.177,0.184,0.164
macro avg,precision,0.543,0.553,0.532,0.546,0.551,0.545
macro avg,recall,0.536,0.648,0.597,0.554,0.575,0.513
macro avg,f1-score,0.159,0.371,0.462,0.19,0.223,0.108
weighted avg,precision,0.913,0.909,0.869,0.917,0.921,0.92
weighted avg,recall,0.159,0.409,0.584,0.19,0.225,0.111
weighted avg,f1-score,0.149,0.498,0.673,0.201,0.255,0.061
