number,value,datetime_start,datetime_complete,duration,params_act,params_add_self_loops,params_bias,params_gnn_aggr,params_hidden_channels_log2,params_jk,params_num_layers,params_to_hetero_aggr,user_attrs_acc,user_attrs_aprc,user_attrs_auc,user_attrs_best_epoch,user_attrs_f1,user_attrs_learning_rate,user_attrs_loss,user_attrs_n_hidden,user_attrs_precision,user_attrs_recall,user_attrs_total_epochs,state
40,0.1495676189661026,2023-01-12 23:55:50.198362,2023-01-12 23:57:02.013650,0 days 00:01:11.815288,relu,False,False,mean,7,last,5,max,0.9269076585769653,0.1495676189661026,0.7376259565353394,82,0.22196097671985626,0.01,1.3572440147399902,128,0.12732668220996857,0.8644688725471497,282,COMPLETE
16,0.1459752470254898,2023-01-12 23:05:20.591124,2023-01-12 23:06:18.469094,0 days 00:00:57.877970,relu,False,True,sum,5,none,6,sum,0.9269076585769653,0.1459752470254898,0.6929025650024414,605,0.19999998807907104,0.01,1.6260948181152344,32,0.12243220955133438,0.5457875728607178,805,COMPLETE
17,0.1220964565873146,2023-01-12 23:06:18.494230,2023-01-12 23:06:33.808413,0 days 00:00:15.314183,relu,False,True,sum,3,none,7,min,0.9269076585769653,0.1220964565873146,0.6703876256942749,126,0.18199999630451202,0.01,1.0024570226669312,8,0.10538505762815475,0.6666666865348816,326,COMPLETE
8,0.10779274255037308,2023-01-12 22:52:08.558769,2023-01-12 22:53:07.259128,0 days 00:00:58.700359,relu,True,False,mean,7,none,4,max,0.9269076585769653,0.10779274255037308,0.6415910720825195,79,0.17232748866081238,0.01,1.2452366352081299,128,0.10706352442502975,0.4413919448852539,279,COMPLETE
28,0.10395704209804535,2023-01-12 23:23:04.798390,2023-01-12 23:23:22.820423,0 days 00:00:18.022033,relu,False,True,sum,5,none,7,sum,0.9269076585769653,0.10395704209804535,0.6346816420555115,19,0.17350225150585175,0.01,1.1183501482009888,32,0.09827292710542679,0.7399267554283142,219,COMPLETE
20,0.10203128308057785,2023-01-12 23:09:14.611282,2023-01-12 23:09:22.621396,0 days 00:00:08.010114,relu,False,True,sum,3,none,5,sum,0.9269076585769653,0.10203128308057785,0.6338847875595093,16,0.175669327378273,0.01,1.118706226348877,8,0.10075431317090988,0.6849817037582397,216,COMPLETE
1,0.0996306836605072,2023-01-12 22:42:20.429745,2023-01-12 22:42:26.836124,0 days 00:00:06.406379,relu,False,False,min,1,last,3,max,0.9269076585769653,0.0996306836605072,0.6236631870269775,201,0.16933239996433258,0.01,1.1009937524795532,2,0.09354590624570847,0.8919413685798645,201,COMPLETE
2,0.09778764843940735,2023-01-12 22:42:26.862488,2023-01-12 22:42:33.694265,0 days 00:00:06.831777,leaky_relu,True,False,min,1,last,2,max,0.9269076585769653,0.09778764843940735,0.6104384660720825,34,0.16249026358127594,0.01,1.098537564277649,2,0.08879061043262482,0.9560439586639404,234,COMPLETE
38,0.09003719687461853,2023-01-12 23:50:45.062994,2023-01-12 23:53:16.040979,0 days 00:02:30.977985,relu,False,False,min,8,last,5,max,0.31820616126060486,0.09003719687461853,0.5977481603622437,201,0.16576576232910156,0.01,72.42308807373047,256,0.09102356433868408,0.9267399311065674,201,COMPLETE
45,0.08970992267131805,2023-01-13 00:01:19.564025,2023-01-13 00:01:30.368371,0 days 00:00:10.804346,relu,True,True,mean,1,none,6,min,0.9269076585769653,0.08970992267131805,0.5984797477722168,37,0.0,0.01,1.1379810571670532,2,0.0,0.0,237,COMPLETE
5,0.08016049861907959,2023-01-12 22:48:15.535473,2023-01-12 22:48:21.640696,0 days 00:00:06.105223,relu,True,False,mean,2,none,1,min,0.9269076585769653,0.08016049861907959,0.5733755826950073,61,0.12789329886436462,0.01,1.118491768836975,4,0.08137793093919754,0.2985348105430603,261,COMPLETE
