iter	Passed	Remaining
608	1615	1037
609	1617	1034
610	1620	1031
611	1622	1028
612	1625	1025
613	1627	1023
614	1630	1020
615	1633	1018
616	1635	1015
617	1637	1012
618	1640	1009
619	1643	1007
620	1646	1004
621	1648	1001
622	1650	998
623	1653	996
624	1655	993
625	1658	990
626	1660	987
627	1663	985
628	1665	982
629	1668	979
630	1670	977
631	1673	974
632	1676	971
633	1678	969
634	1681	966
635	1683	963
636	1686	960
637	1688	958
638	1691	955
639	1693	952
640	1695	949
641	1698	947
642	1700	944
643	1703	941
644	1705	938
645	1708	936
646	1711	933
647	1713	930
648	1715	927
649	1718	925
650	1720	922
651	1723	919
652	1726	917
653	1728	914
654	1731	911
655	1733	909
656	1736	906
657	1739	904
658	1741	901
659	1744	898
660	1746	895
661	1749	893
662	1751	890
663	1755	888
664	1757	885
665	1760	882
666	1763	880
667	1765	877
668	1768	874
669	1770	872
670	1773	869
671	1776	866
672	1778	864
673	1780	861
674	1783	858
675	1785	855
676	1789	853
677	1791	851
678	1794	848
679	1797	845
680	1799	842
681	1802	840
682	1804	837
683	1807	834
684	1809	832
685	1812	829
686	1814	826
687	1816	823
688	1819	821
689	1822	818
690	1824	816
691	1827	813
692	1830	810
693	1832	807
694	1834	805
695	1838	803
696	1841	800
697	1843	797
698	1846	794
699	1848	792
700	1851	789
701	1854	787
702	1857	784
703	1859	782
704	1862	779
705	1864	776
706	1867	773
707	1870	771
708	1873	768
709	1875	766
710	1877	763
711	1880	760
712	1882	757
713	1885	755
714	1887	752
715	1890	749
716	1892	747
717	1895	744
718	1897	741
719	1899	738
720	1902	736
721	1905	733
722	1907	730
723	1910	728
724	1912	725
725	1915	722
726	1917	720
727	1920	717
728	1923	714
729	1925	712
730	1928	709
731	1930	706
732	1932	704
733	1935	701
734	1938	698
735	1940	696
736	1943	693
737	1945	690
738	1947	687
739	1950	685
740	1952	682
741	1955	679
742	1958	677
743	1960	674
744	1963	671
745	1965	669
746	1968	666
747	1970	663
748	1973	661
749	1975	658
750	1977	655
751	1980	653
752	1982	650
753	1985	647
754	1987	645
755	1990	642
756	1992	639
757	1994	636
758	1997	634
759	2000	631
760	2002	629
761	2005	626
762	2007	623
763	2010	620
764	2012	618
765	2016	615
766	2018	613
767	2021	610
768	2023	607
769	2026	605
770	2028	602
771	2031	600
772	2034	597
773	2036	594
774	2038	591
775	2041	589
776	2044	586
777	2047	584
778	2050	581
779	2053	579
780	2056	576
781	2058	573
782	2061	571
783	2064	568
784	2066	565
785	2068	563
786	2071	560
787	2073	557
788	2076	555
789	2079	552
790	2081	550
791	2084	547
792	2086	544
793	2088	541
794	2091	539
795	2094	536
796	2097	534
797	2099	531
798	2102	528
799	2104	526
800	2107	523
801	2109	520
802	2112	518
803	2114	515
804	2117	512
805	2119	510
806	2122	507
807	2124	504
808	2127	502
809	2130	499
810	2132	497
811	2135	494
812	2138	491
813	2140	489
814	2142	486
815	2145	483
816	2148	481
817	2150	478
818	2153	475
819	2156	473
820	2158	470
821	2161	468
822	2164	465
823	2166	462
824	2169	460
825	2171	457
826	2173	454
827	2177	452
828	2180	449
829	2182	447
830	2185	444
831	2187	441
832	2189	439
833	2193	436
834	2196	433
835	2198	431
836	2201	428
837	2203	425
838	2205	423
839	2208	420
840	2212	418
841	2214	415
842	2216	412
843	2219	410
844	2221	407
845	2224	404
846	2227	402
847	2229	399
848	2232	397
849	2234	394
850	2236	391
851	2239	389
852	2242	386
853	2244	383
854	2247	381
855	2249	378
856	2252	375
857	2254	373
858	2257	370
859	2260	367
860	2262	365
861	2265	362
862	2267	359
863	2270	357
864	2272	354
865	2275	352
866	2277	349
867	2280	346
868	2282	344
869	2285	341
870	2287	338
871	2290	336
872	2292	333
873	2294	330
874	2297	328
875	2299	325
876	2302	322
877	2306	320
878	2308	317
879	2311	315
880	2313	312
881	2316	309
882	2318	307
883	2321	304
884	2324	302
885	2326	299
886	2329	296
887	2331	294
888	2334	291
889	2336	288
890	2343	286
891	2346	284
892	2348	281
893	2351	278
894	2353	276
895	2356	273
896	2358	270
897	2361	268
898	2364	265
899	2366	262
900	2368	260
901	2371	257
902	2374	255
903	2376	252
904	2379	249
905	2381	247
906	2383	244
907	2386	241
908	2388	239
909	2391	236
910	2393	233
911	2396	231
912	2398	228
913	2401	225
914	2403	223
915	2406	220
916	2408	218
917	2411	215
918	2413	212
919	2416	210
920	2418	207
921	2421	204
922	2424	202
923	2426	199
924	2429	196
925	2431	194
926	2434	191
927	2436	189
928	2439	186
929	2442	183
930	2444	181
931	2447	178
932	2449	175
933	2452	173
934	2454	170
935	2457	168
936	2459	165
937	2462	162
938	2464	160
939	2467	157
940	2470	154
941	2472	152
942	2474	149
943	2476	146
944	2479	144
945	2481	141
946	2484	139
947	2486	136
948	2489	133
949	2492	131
950	2494	128
951	2496	125
952	2500	123
953	2502	120
954	2504	118
955	2507	115
956	2509	112
957	2512	110
958	2514	107
959	2517	104
960	2519	102
961	2522	99
962	2524	97
963	2527	94
964	2529	91
965	2532	89
966	2534	86
967	2537	83
968	2539	81
969	2542	78
970	2544	76
971	2547	73
972	2550	70
973	2552	68
974	2554	65
975	2557	62
976	2559	60
977	2562	57
978	2565	55
979	2567	52
980	2570	49
981	2572	47
982	2575	44
983	2577	41
984	2580	39
985	2582	36
986	2585	34
987	2587	31
988	2589	28
989	2592	26
990	2594	23
991	2597	20
992	2600	18
993	2602	15
994	2605	13
995	2607	10
996	2610	7
997	2612	5
998	2615	2
999	2617	0
